"","subjID","condition","group","half","n","prop_best"
"277","C998204","dynamic","adult","trial 1-40",37,0.925
"278","C998204","dynamic","adult","trial 41-80",0,0
"279","I001","dynamic","child","trial 1-40",36,0.9
"280","I001","dynamic","child","trial 41-80",27,0.675
"281","I002","dynamic","child","trial 1-40",12,0.3
"282","I002","dynamic","child","trial 41-80",10,0.25
"283","I004","dynamic","child","trial 1-40",11,0.275
"284","I004","dynamic","child","trial 41-80",10,0.25
"285","I005","dynamic","child","trial 1-40",11,0.275
"286","I005","dynamic","child","trial 41-80",10,0.25
"287","I006","dynamic","child","trial 1-40",13,0.325
"288","I006","dynamic","child","trial 41-80",11,0.275
"289","I007","static","child","trial 1-40",13,0.325
"290","I007","static","child","trial 41-80",11,0.275
"291","I008","static","child","trial 1-40",21,0.525
"292","I008","static","child","trial 41-80",19,0.475
"293","I009","dynamic","child","trial 1-40",13,0.325
"294","I009","dynamic","child","trial 41-80",4,0.1
"295","I010","static","child","trial 1-40",10,0.25
"296","I010","static","child","trial 41-80",14,0.35
"297","I011","dynamic","child","trial 1-40",15,0.375
"298","I011","dynamic","child","trial 41-80",15,0.375
"299","I012","dynamic","child","trial 1-40",9,0.225
"300","I012","dynamic","child","trial 41-80",6,0.15
"301","I014","dynamic","child","trial 1-40",16,0.4
"302","I014","dynamic","child","trial 41-80",10,0.25
"303","I015","static","child","trial 1-40",37,0.925
"304","I015","static","child","trial 41-80",37,0.925
"305","I016","static","child","trial 1-40",13,0.325
"306","I016","static","child","trial 41-80",20,0.5
"307","I018","dynamic","child","trial 1-40",30,0.75
"308","I018","dynamic","child","trial 41-80",0,0
"309","I019","dynamic","child","trial 1-40",10,0.25
"310","I019","dynamic","child","trial 41-80",11,0.275
"311","I020","static","child","trial 1-40",11,0.275
"312","I020","static","child","trial 41-80",10,0.25
"313","I021","dynamic","child","trial 1-40",11,0.275
"314","I021","dynamic","child","trial 41-80",10,0.25
"315","I022","dynamic","child","trial 1-40",11,0.275
"316","I022","dynamic","child","trial 41-80",9,0.225
"317","I023","dynamic","child","trial 1-40",18,0.45
"318","I023","dynamic","child","trial 41-80",12,0.3
"319","I024","dynamic","child","trial 1-40",11,0.275
"320","I024","dynamic","child","trial 41-80",8,0.2
"321","I025","static","child","trial 1-40",10,0.25
"322","I025","static","child","trial 41-80",10,0.25
"323","I026","dynamic","child","trial 1-40",9,0.225
"324","I026","dynamic","child","trial 41-80",9,0.225
"325","I027","dynamic","child","trial 1-40",11,0.275
"326","I027","dynamic","child","trial 41-80",10,0.25
"327","I028","dynamic","child","trial 1-40",29,0.725
"328","I028","dynamic","child","trial 41-80",23,0.575
"329","I029","static","child","trial 1-40",11,0.275
"330","I029","static","child","trial 41-80",11,0.275
"331","I030","dynamic","child","trial 1-40",11,0.275
"332","I030","dynamic","child","trial 41-80",10,0.25
"333","I031","dynamic","child","trial 1-40",11,0.275
"334","I031","dynamic","child","trial 41-80",11,0.275
"335","I032","static","child","trial 1-40",12,0.3
"336","I032","static","child","trial 41-80",12,0.3
"337","I033","static","child","trial 1-40",15,0.375
"338","I033","static","child","trial 41-80",28,0.7
"339","I034","dynamic","child","trial 1-40",8,0.2
"340","I034","dynamic","child","trial 41-80",8,0.2
"341","I035","dynamic","child","trial 1-40",10,0.25
"342","I035","dynamic","child","trial 41-80",9,0.225
"343","I036","dynamic","child","trial 1-40",11,0.275
"344","I036","dynamic","child","trial 41-80",10,0.25
"345","I037","static","child","trial 1-40",10,0.25
"346","I037","static","child","trial 41-80",12,0.3
"347","I038","dynamic","child","trial 1-40",14,0.35
"348","I038","dynamic","child","trial 41-80",10,0.25
"349","I039","dynamic","child","trial 1-40",18,0.45
"350","I039","dynamic","child","trial 41-80",12,0.3
"351","I040","static","child","trial 1-40",11,0.275
"352","I040","static","child","trial 41-80",10,0.25
"353","I042","static","child","trial 1-40",37,0.925
"354","I042","static","child","trial 41-80",40,1
"355","I043","dynamic","child","trial 1-40",30,0.75
"356","I043","dynamic","child","trial 41-80",0,0
"357","I044","dynamic","child","trial 1-40",14,0.35
"358","I044","dynamic","child","trial 41-80",12,0.3
"359","I045","static","child","trial 1-40",11,0.275
"360","I045","static","child","trial 41-80",10,0.25
"361","I046","dynamic","child","trial 1-40",10,0.25
"362","I046","dynamic","child","trial 41-80",10,0.25
"363","I047","dynamic","child","trial 1-40",11,0.275
"364","I047","dynamic","child","trial 41-80",9,0.225
"365","I048","dynamic","child","trial 1-40",11,0.275
"366","I048","dynamic","child","trial 41-80",10,0.25
"367","I049","static","child","trial 1-40",10,0.25
"368","I049","static","child","trial 41-80",8,0.2
"369","I050","dynamic","child","trial 1-40",7,0.175
"370","I050","dynamic","child","trial 41-80",9,0.225
"371","I051","static","child","trial 1-40",35,0.875
"372","I051","static","child","trial 41-80",32,0.8
"373","I052","dynamic","child","trial 1-40",21,0.525
"374","I052","dynamic","child","trial 41-80",17,0.425
"375","I053","dynamic","child","trial 1-40",18,0.45
"376","I053","dynamic","child","trial 41-80",19,0.475
"377","I054","dynamic","child","trial 1-40",14,0.35
"378","I054","dynamic","child","trial 41-80",13,0.325
"379","I056","static","child","trial 1-40",16,0.4
"380","I056","static","child","trial 41-80",17,0.425
"381","I057","dynamic","child","trial 1-40",11,0.275
"382","I057","dynamic","child","trial 41-80",13,0.325
"383","I058","dynamic","child","trial 1-40",10,0.25
"384","I058","dynamic","child","trial 41-80",11,0.275
"385","I059","dynamic","child","trial 1-40",12,0.3
"386","I059","dynamic","child","trial 41-80",12,0.3
"387","I060","dynamic","child","trial 1-40",14,0.35
"388","I060","dynamic","child","trial 41-80",13,0.325
"389","I061","dynamic","child","trial 1-40",10,0.25
"390","I061","dynamic","child","trial 41-80",11,0.275
"391","I062","dynamic","child","trial 1-40",15,0.375
"392","I062","dynamic","child","trial 41-80",13,0.325
"393","I063","dynamic","child","trial 1-40",11,0.275
"394","I063","dynamic","child","trial 41-80",10,0.25
"395","I064","dynamic","child","trial 1-40",10,0.25
"396","I064","dynamic","child","trial 41-80",9,0.225
"397","I066","dynamic","child","trial 1-40",30,0.75
"398","I066","dynamic","child","trial 41-80",0,0
"399","I067","dynamic","child","trial 1-40",10,0.25
"400","I067","dynamic","child","trial 41-80",9,0.225
"401","I068","dynamic","child","trial 1-40",34,0.85
"402","I068","dynamic","child","trial 41-80",0,0
"403","I069","dynamic","child","trial 1-40",4,0.1
"404","I069","dynamic","child","trial 41-80",14,0.35
"405","I070","static","child","trial 1-40",13,0.325
"406","I070","static","child","trial 41-80",14,0.35
"407","I071","dynamic","child","trial 1-40",31,0.775
"408","I071","dynamic","child","trial 41-80",0,0
"409","I072","dynamic","child","trial 1-40",24,0.6
"410","I072","dynamic","child","trial 41-80",0,0
"411","I073","dynamic","child","trial 1-40",13,0.325
"412","I073","dynamic","child","trial 41-80",20,0.5
"413","I074","static","child","trial 1-40",39,0.975
"414","I074","static","child","trial 41-80",38,0.95
"415","I075","dynamic","child","trial 1-40",36,0.9
"416","I075","dynamic","child","trial 41-80",0,0
"417","I076","static","child","trial 1-40",17,0.425
"418","I076","static","child","trial 41-80",21,0.525
"419","I077","dynamic","child","trial 1-40",10,0.25
"420","I077","dynamic","child","trial 41-80",9,0.225
"421","I078","static","child","trial 1-40",20,0.5
"422","I078","static","child","trial 41-80",24,0.6
"423","S002","static","child","trial 1-40",26,0.65
"424","S002","static","child","trial 41-80",38,0.95
"425","S003","static","child","trial 1-40",14,0.35
"426","S003","static","child","trial 41-80",30,0.75
"427","S011","dynamic","child","trial 1-40",12,0.3
"428","S011","dynamic","child","trial 41-80",9,0.225
"429","S015","static","child","trial 1-40",11,0.275
"430","S015","static","child","trial 41-80",9,0.225
"431","S017","dynamic","child","trial 1-40",9,0.225
"432","S017","dynamic","child","trial 41-80",10,0.25
